image_id,image_name,location,file_name,collection_id,showing
29,Sớm xuân trên sườn đồi,"Tân Sơn, Phú Thọ",diem-nhien-2.webp,diem-nhien,yes
30,Mai anh đào trong sắc xuân,Sapa,diem-nhien-3.webp,diem-nhien,yes
31,Chút nắng ngày đông,Sapa,diem-nhien-4.webp,diem-nhien,yes
32,Thanh tao một sắc xuân,Sapa,diem-nhien-5.webp,diem-nhien,yes
33,Rạo rực hoa anh đào nở,Sapa,diem-nhien-6.webp,diem-nhien,yes
34,Rực rỡ mùa xuân,Sapa,diem-nhien-7.webp,diem-nhien,
35,Một buổi sáng bình yên,Sapa,diem-nhien-8.webp,diem-nhien,
36,Chìm đắm trong vẻ đẹp mùa xuân,Sapa,diem-nhien-9.webp,diem-nhien,yes
37,Mai anh đào chiều xuân,Sapa,diem-nhien-10.webp,diem-nhien,
38,Mai anh đào chiều xuân,Sapa,diem-nhien-11.webp,diem-nhien,
39,Rực rỡ mai anh đào,Sapa,diem-nhien-12.webp,diem-nhien,yes
40,Sớm đồi chè trong mây,Sapa,diem-nhien-13.webp,diem-nhien,yes
41,Hoa anh đào khoe sắc,Sapa,diem-nhien-14.webp,diem-nhien,yes
42,Sức sống hoa đỗ quyên,"Nhìu Cồ San, Bát Xát, Lào Cai",diem-nhien-15.webp,diem-nhien,
43,Tinh khôi hoa mận,"Tả Van Chư, Bắc Hà, Lào Cai",diem-nhien-16.webp,diem-nhien,
44,Tình yêu em,Hà Nội,diem-nhien-17.webp,diem-nhien,yes
45,Chuyện lứa đôi,Hà Nội,diem-nhien-18.webp,diem-nhien,
46,Nuôi dưỡng tình yêu lứa đôi,Hà Nội,diem-nhien-19.webp,diem-nhien,yes
47,Trên cánh đồng xanh,"Tri Tôn, An Giang",diem-nhien-20.webp,diem-nhien,yes
48,Trong những sóng gió,"Thác Bản Giốc, Cao Bằng",diem-nhien-21.webp,diem-nhien,yes
49,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-22.webp,diem-nhien,yes
50,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-23.webp,diem-nhien,yes
51,Sương mây huyền ảo trên mặt hồ Na Hang,"Na Hang, Tuyên Quang",diem-nhien-24.webp,diem-nhien,yes
52,Một chiều thanh bình,"Na Hang, Tuyên Quang",diem-nhien-25.webp,diem-nhien,yes
53,Một chiều thanh bình,"Na Hang, Tuyên Quang",diem-nhien-26.webp,diem-nhien,yes
54,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-27.webp,diem-nhien,yes
55,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-28.webp,diem-nhien,yes
56,Căn chòi một chiều thu,"Mù Cang Chải, Yên Bái",diem-nhien-29.webp,diem-nhien,yes
57,Trong long lanh ánh nắng,"Sàng Ma Sáo, Bát Xát, Lào Cai",diem-nhien-30.webp,diem-nhien,yes
58,Cánh đồng trên mây,"Ngải Thầu, Bát Xát, Lào Cai",diem-nhien-31.webp,diem-nhien,
59,Soi bóng chiều vàng,"Thiên Sinh, Bát Xát, Lào Cai",diem-nhien-32.webp,diem-nhien,yes
60,Bình minh Tràng An,"Tràng An, Ninh Bình",diem-nhien-33.webp,diem-nhien,
61,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",diem-nhien-34.webp,diem-nhien,
62,Núi đắp chăn mây,"Ngải Thầu, Bát Xát, Lào Cai",diem-nhien-35.webp,diem-nhien,
63,Bủa vây,"Nhìu Cồ San, Bát Xát, Lào Cai",diem-nhien-36.webp,diem-nhien,yes
64,Mùa nước đổ,Sơn La,diem-nhien-37.webp,diem-nhien,
65,Hoa xuân,"Nhìu Cồ San, Bát Xát, Lào Cai",diem-nhien-38.webp,diem-nhien,yes
66,Tĩnh lặng,"Lảo Thẩn, Bát Xát, Lào Cai",diem-nhien-39.webp,diem-nhien,yes
67,Sờm bình yên,"Bắc Sơn, Lạng Sơn",diem-nhien-40.webp,diem-nhien,
68,Sớm trong lành,"Ngải Thầu Hạ, Bát Xát, Lào Cai",diem-nhien-41.webp,diem-nhien,yes
69,Năm tháng ấy,Ninh Thuận,diem-nhien-42.webp,diem-nhien,yes
70,Trái tim Bản Giốc,"Thác Bản Giốc, Cao Bằng",diem-nhien-43.webp,diem-nhien,yes
71,Rạo rực dưới ánh nắng ngày hạ,"Thác Bản Giốc, Cao Bằng",diem-nhien-44.webp,diem-nhien,yes
72,Quê hương,"Nho Quan, Ninh Bình",diem-nhien-45.webp,diem-nhien,yes
73,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-46.webp,diem-nhien,
74,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-47.webp,diem-nhien,yes
75,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",diem-nhien-48.webp,diem-nhien,yes
76,Căn nhà nhỏ trên đồi,"Bát Xát, Lào Cai",diem-nhien-49.webp,diem-nhien,
77,Đèo Hạnh Phúc,Hà Giang,diem-nhien-50.webp,diem-nhien,yes
78,Đất mẹ,"Sàng Ma Sáo, Bát Xát, Lào Cai",diem-nhien-51.webp,diem-nhien,yes
160,Nắng sớm trên thảo nguyên,"Mộc Châu, Sơn La",TDO0737.webp,diem-nhien,yes
149,Vườn cải,"Mộc Châu, Sơn La",DJI_0275-HDR-1.webp,diem-nhien,yes
154,Trên nông trường ngày xuân,"Mộc Châu, Sơn La",DJI_0043-HDR-1.webp,diem-nhien,yes
156,Đồi chè Mộc Châu,"Mộc Châu, Sơn La",DJI_0085-1.webp,diem-nhien,yes
157,Hoa xuân,"Mộc Châu, Sơn La",DJI_0218-1.webp,diem-nhien,yes
158,Lẻ loi,"Mộc Châu, Sơn La",DJI_0982-HDR-1.webp,diem-nhien,yes
161,Hang Táu chiều cuối năm,"Mộc Châu, Sơn La",TDO3211-HDR-1.webp,diem-nhien,yes
79,Rực cháy buổi bình minh,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-0.webp,soi-sang,yes
80,Thịnh vượng,"Mù Cang Chải, Yên Bái",soi-sang-1.webp,soi-sang,yes
81,Chiều soi bóng,"Thiên Sinh, Bát Xát, Lào Cai",soi-sang-2.webp,soi-sang,yes
82,Bình minh,"Sàng Ma Sáo, Bát Xát, Lào Cai",soi-sang-3.webp,soi-sang,yes
83,Bình minh mùa thu,"Trùng Khánh, Cao Bằng",soi-sang-4.webp,soi-sang,yes
84,Cõi mơ,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-5.webp,soi-sang,yes
85,Bình minh mùa thu,"Trùng Khánh, Cao Bằng",soi-sang-6.webp,soi-sang,yes
86,Phóng khoáng,"Lảo Thẩn, Bát Xát, Lào Cai",soi-sang-7.webp,soi-sang,yes
87,Một khởi đầu mới,"Tân Sơn, Phú Thọ",soi-sang-8.webp,soi-sang,yes
88,Bình minh mùa nước đổ,"Sàng Ma Sáo, Bát Xát, Lào Cai",soi-sang-9.webp,soi-sang,
89,Nhật xuất tinh sơn,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-10.webp,soi-sang,
90,Hành trình,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-11.webp,soi-sang,yes
91,Kỳ Quan San nhìn từ Nhìu Cồ San,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-12.webp,soi-sang,yes
92,Thử thách,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-13.webp,soi-sang,yes
93,Bình minh đồi chè ,"Tân Sơn, Phú Thọ",soi-sang-14.webp,soi-sang,yes
94,Mây vờn chân núi,"Bát Xát, Lào Cai",soi-sang-15.webp,soi-sang,yes
95,Sớm trong mây,"Bắc Sơn, Lạng Sơn",soi-sang-16.webp,soi-sang,yes
96,Phiến mây hồng,"Lảo Thẩn, Bát Xát, Lào Cai",soi-sang-17.webp,soi-sang,yes
97,Phiến mây hồng,"Bắc Sơn, Lạng Sơn",soi-sang-18.webp,soi-sang,yes
98,Sớm Hà Nội,Hà Nội,soi-sang-19.webp,soi-sang,yes
99,Sớm Hà Nội,Hà Nội,soi-sang-20.webp,soi-sang,yes
102,Bình minh trên biển,Quảng Bình,soi-sang-23.webp,soi-sang,yes
103,Bình minh trên biển,"Đồng Châu, Thái Bình",soi-sang-24.webp,soi-sang,yes
104,Bay tận cuối trời,"Na Hang, Tuyên Quang",soi-sang-25.webp,soi-sang,yes
105,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",soi-sang-26.webp,soi-sang,
106,Soi bóng dòng Quây Sơn,"Trùng Khánh, Cao Bằng",soi-sang-27.webp,soi-sang,yes
107,Trong tĩnh lặng Na Hang,"Na Hang, Tuyên Quang",soi-sang-28.webp,soi-sang,yes
108,Trên những phiếm du,"Mù Cang Chải, Yên Bái",soi-sang-29.webp,soi-sang,yes
109,Chiều tà trên thửa ruộng bậc thang,"Mù Cang Chải, Yên Bái",soi-sang-30.webp,soi-sang,yes
110,Chiều tà trên thửa ruộng bậc thang,"Mù Cang Chải, Yên Bái",soi-sang-31.webp,soi-sang,yes
111,Buổi chiều Thiên Sinh,"Thiên Sinh, Bát Xát, Lào Cai",soi-sang-32.webp,soi-sang,
112,Thác đổ,"Nhìu Cồ San, Bát Xát, Lào Cai",soi-sang-33.webp,soi-sang,yes
113,Chốn xa xăm cuối trời,"Lảo Thẩn, Bát Xát, Lào Cai",soi-sang-34.webp,soi-sang,yes
114,Thung lũng Phong Nặm,"Trùng Khánh, Cao Bằng",soi-sang-35.webp,soi-sang,yes
115,Chiều Khau Phạ,"Khau Phạ, Yên Bái",soi-sang-36.webp,soi-sang,yes
116,Bên dòng Quây Sơn,"Trùng Khánh, Cao Bằng",soi-sang-37.webp,soi-sang,yes
117,Bình minh trên núi,"Bắc Sơn, Lạng Sơn",soi-sang-38.webp,soi-sang,yes
118,Vầng dương,"Bắc Sơn, Lạng Sơn",soi-sang-39.webp,soi-sang,yes
119,Hướng dương,"Bắc Sơn, Lạng Sơn",soi-sang-40.webp,soi-sang,
120,Nhật xuất tinh sơn,"Bắc Sơn, Lạng Sơn",soi-sang-41.webp,soi-sang,yes
121,Con đường trong mây,Sapa,soi-sang-42.webp,soi-sang,
122,Về chốn xa xăm cuối trời,"Cú Nhù San, Bát Xát, Lào Cai",soi-sang-43.webp,soi-sang,
152,Bình minh thảo nguyên,"Mộc Châu, Sơn La",DJI_0871-HDR-1.webp,soi-sang,yes
153,Nắng sớm trên thảo nguyên,"Mộc Châu, Sơn La",DJI_0593-HDR-1.webp,soi-sang,yes
159,Nắng sớm trên thảo nguyên,"Mộc Châu, Sơn La",TDO0731-HDR-1.webp,soi-sang,yes
151,Những câu chuyện dài,"Mộc Châu, Sơn La",startrail-hangtau.webp,dem,yes
162,Đêm rằm,"Nậm Nghiệp, Sơn La",dem-trang-nam-nghiep.webp,dem,yes
124,Coi đồng đêm,"Mù Cang Chải, Yên Bái",dem-1.webp,dem,yes
125,Có cơn mưa mùa đông,"Lảo Thẩn, Y Tý",dem-2.webp,dem,yes
123,Lẻ loi,"Lảo Thẩn, Bát Xát, Lào Cai",dem-0.webp,dem,yes
126,Đêm trên những nương chè,"Mộc Châu, Sơn La",dem-3.webp,dem,yes
127,Tĩnh lặng,Hà Nội,dem-4.webp,dem,yes
128,Ánh trăng cuối cùng của năm,"Cú Nhù San, Bát Xát, Lào Cai",dem-5.webp,dem,yes
129,Khi nhìn thấy trăng,"Lảo Thẩn, Bát Xát, Lào Cai",dem-6.webp,dem,yes
130,Cánh chim trời,"Lảo Thẩn, Bát Xát, Lào Cai",dem-7.webp,dem,yes
131,Trăng non,"Nhìu Cồ San, Bát Xát, Lào Cai",dem-8.webp,dem,yes
132,Mộng mị,"Long Cốc, Phú Thọ",dem-9.webp,dem,yes
133,Phượng hoàng,"Bắc Sơn, Lạng Sơn",dem-10.webp,dem,yes
134,Đừng lấp đầy đêm bằng tiếng thở dài,"Long Cốc, Phú Thọ",dem-11.webp,dem,yes
135,Đêm ở núi thủng Cao Bằng,Cao Bằng,dem-12.webp,dem,yes
136,núi Lảo Thẩn dưới bầu trời sao,"Ngải Thầu Thượng, Bát Xát, Lào Cai",dem-13.webp,dem,yes
137,Chu Va trong đêm mưa sao băng,"Tam Đường, Lai Châu",dem-14.webp,dem,yes
138,Hành quân,"Lảo Thẩn, Bát Xát, Lào Cai",dem-15.webp,dem,yes
139,Tiếng đêm Na Hang,"Na Hang, Tuyên Quang",dem-16.webp,dem,yes
140,Đêm trên biển Thái Bình,"Đồng Châu, Thái Bình",dem-17.webp,dem,yes
141,Nước đổ đêm trăng,"Ngải Thầu Hạ, Bát Xát, Lào Cai",dem-18.webp,dem,
142,Mưa sao băng trên đỉnh Cú Nhù San,"Cú Nhù San, Bát Xát, Lào Cai",dem-19.webp,dem,yes
143,Amen,Sapa,dem-20.webp,dem,yes
144,Phượng hoàng,"Bắc Sơn, Lạng Sơn",dem-21.webp,dem,yes
145,Đêm mây Hà Nội,Hà Nội,dem-22.webp,dem,yes
146,Trăng Sapa,Sapa,dem-23.webp,dem,
163,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",TDO6600.webp,soi-sang,yes
164,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",TDO7505-1.webp,diem-nhien,yes
165,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",TDO7611.webp,soi-sang,yes
166,Dưới ánh sao mùa thu,"Mù Cang Chải, Yên Bái",TDO8871.webp,dem,yes
167,Dưới ánh ban mai,"Mù Cang Chải, Yên Bái",TDO_running.webp,diem-nhien,yes
168,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",TDO_huchulin1.webp,diem-nhien,yes
169,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",TDO_huchulin2.webp,diem-nhien,yes
170,Cánh đồng mùa thu,"Mù Cang Chải, Yên Bái",TDO_binhminh_mcc.webp,diem-nhien,yes
171,Kìa có ngôi sao rơi,"Mù Cang Chải, Yên Bái",TDO_startrail_sannhu.webp,dem,yes
172,,,,,yes
173,,,,,yes
174,,,,,yes
175,,,,,yes
176,,,,,yes
177,,,,,yes
178,,,,,yes
179,,,,,yes
180,,,,,yes
181,,,,,yes
182,,,,,yes
183,,,,,yes
184,,,,,yes
185,,,,,yes
186,,,,,yes
187,,,,,yes
188,,,,,yes
189,,,,,yes
190,,,,,yes
191,,,,,yes
192,,,,,yes
193,,,,,yes
194,,,,,yes
195,,,,,yes
196,,,,,yes
197,,,,,yes
198,,,,,yes
199,,,,,yes
200,,,,,yes
201,,,,,yes
202,,,,,yes
203,,,,,yes
204,,,,,yes
205,,,,,yes
206,,,,,yes
207,,,,,yes
208,,,,,yes
209,,,,,yes
210,,,,,yes
211,,,,,yes
212,,,,,yes
213,,,,,yes
214,,,,,yes
215,,,,,yes
216,,,,,yes
217,,,,,yes
218,,,,,yes
219,,,,,yes
220,,,,,yes
221,,,,,yes
222,,,,,yes
223,,,,,yes
224,,,,,yes
225,,,,,yes
226,,,,,yes
227,,,,,yes
228,,,,,yes
229,,,,,yes
230,,,,,yes
231,,,,,yes
232,,,,,yes
233,,,,,yes
234,,,,,yes
235,,,,,yes
236,,,,,yes
237,,,,,yes
238,,,,,yes
239,,,,,yes
240,,,,,yes
241,,,,,yes
242,,,,,yes
243,,,,,yes
244,,,,,yes
245,,,,,yes
246,,,,,yes
247,,,,,yes
248,,,,,yes
249,,,,,yes
250,,,,,yes
251,,,,,yes
252,,,,,yes
253,,,,,yes
254,,,,,yes
255,,,,,yes
256,,,,,yes
257,,,,,yes
258,,,,,yes
259,,,,,yes
260,,,,,yes
261,,,,,yes
262,,,,,yes
263,,,,,yes
264,,,,,yes
265,,,,,yes
266,,,,,yes
267,,,,,yes
268,,,,,yes
269,,,,,yes
270,,,,,yes
271,,,,,yes
272,,,,,yes
273,,,,,yes
274,,,,,yes
275,,,,,yes
276,,,,,yes
277,,,,,yes
278,,,,,yes
279,,,,,yes
280,,,,,yes
281,,,,,yes
282,,,,,yes
283,,,,,yes
284,,,,,yes
285,,,,,yes
286,,,,,yes
287,,,,,yes
288,,,,,yes
289,,,,,yes
290,,,,,yes
291,,,,,yes
292,,,,,yes
293,,,,,yes
294,,,,,yes
295,,,,,yes
296,,,,,yes
297,,,,,yes
298,,,,,yes
299,,,,,yes
300,,,,,yes
301,,,,,yes
302,,,,,yes
303,,,,,yes
304,,,,,yes
305,,,,,yes
306,,,,,yes
307,,,,,yes
308,,,,,yes
309,,,,,yes
310,,,,,yes
311,,,,,yes
312,,,,,yes
313,,,,,yes
314,,,,,yes
315,,,,,yes
316,,,,,yes
317,,,,,yes
318,,,,,yes
319,,,,,yes
320,,,,,yes
321,,,,,yes
322,,,,,yes
323,,,,,yes
324,,,,,yes
325,,,,,yes
326,,,,,yes
327,,,,,yes
328,,,,,yes
329,,,,,yes
330,,,,,yes
331,,,,,yes
332,,,,,yes
333,,,,,yes
334,,,,,yes
335,,,,,yes
336,,,,,yes
337,,,,,yes
338,,,,,yes
339,,,,,yes
340,,,,,yes
341,,,,,yes
342,,,,,yes
343,,,,,yes
344,,,,,yes
345,,,,,yes
346,,,,,yes
347,,,,,yes
348,,,,,yes
349,,,,,yes
350,,,,,yes
351,,,,,yes
352,,,,,yes
353,,,,,yes
354,,,,,yes
355,,,,,yes
356,,,,,yes
357,,,,,yes
358,,,,,yes
359,,,,,yes
360,,,,,yes
361,,,,,yes
362,,,,,yes
363,,,,,yes
364,,,,,yes
365,,,,,yes
366,,,,,yes
367,,,,,yes
368,,,,,yes
369,,,,,yes
370,,,,,yes
371,,,,,yes
372,,,,,yes
373,,,,,yes
374,,,,,yes
375,,,,,yes
376,,,,,yes
377,,,,,yes
378,,,,,yes
379,,,,,yes
380,,,,,yes
381,,,,,yes
382,,,,,yes
383,,,,,yes
384,,,,,yes
385,,,,,yes
386,,,,,yes
387,,,,,yes
388,,,,,yes
389,,,,,yes
390,,,,,yes
391,,,,,yes
392,,,,,yes
393,,,,,yes
394,,,,,yes
395,,,,,yes
396,,,,,yes
397,,,,,yes
398,,,,,yes
399,,,,,yes
400,,,,,yes
401,,,,,yes
402,,,,,yes
403,,,,,yes
404,,,,,yes
405,,,,,yes
406,,,,,yes
407,,,,,yes
408,,,,,yes
409,,,,,yes
410,,,,,yes
411,,,,,yes
412,,,,,yes
413,,,,,yes
414,,,,,yes
415,,,,,yes
416,,,,,yes
417,,,,,yes
418,,,,,yes
419,,,,,yes
420,,,,,yes
421,,,,,yes
422,,,,,yes
423,,,,,yes
424,,,,,yes
425,,,,,yes
426,,,,,yes
427,,,,,yes
428,,,,,yes
429,,,,,yes
430,,,,,yes
431,,,,,yes
432,,,,,yes
433,,,,,yes
434,,,,,yes
435,,,,,yes
436,,,,,yes
437,,,,,yes
438,,,,,yes
439,,,,,yes
440,,,,,yes
441,,,,,yes
442,,,,,yes
443,,,,,yes
444,,,,,yes
445,,,,,yes
446,,,,,yes
447,,,,,yes
448,,,,,yes
449,,,,,yes
450,,,,,yes
451,,,,,yes
452,,,,,yes
453,,,,,yes
454,,,,,yes
455,,,,,yes
456,,,,,yes
457,,,,,yes
458,,,,,yes
459,,,,,yes
460,,,,,yes
461,,,,,yes
462,,,,,yes
463,,,,,yes
464,,,,,yes
465,,,,,yes
466,,,,,yes
467,,,,,yes
468,,,,,yes
469,,,,,yes
470,,,,,yes
471,,,,,yes
472,,,,,yes
473,,,,,yes
474,,,,,yes
475,,,,,yes
476,,,,,yes
477,,,,,yes
478,,,,,yes
479,,,,,yes
480,,,,,yes
481,,,,,yes
482,,,,,yes
483,,,,,yes
484,,,,,yes
485,,,,,yes
486,,,,,yes
487,,,,,yes
488,,,,,yes
489,,,,,yes
490,,,,,yes
491,,,,,yes
492,,,,,yes
493,,,,,yes
494,,,,,yes
495,,,,,yes
496,,,,,yes
497,,,,,yes
498,,,,,yes
499,,,,,yes
500,,,,,yes
501,,,,,yes
502,,,,,yes
503,,,,,yes
504,,,,,yes
505,,,,,yes
506,,,,,yes
507,,,,,yes
508,,,,,yes
509,,,,,yes
510,,,,,yes
511,,,,,yes
512,,,,,yes
513,,,,,yes
514,,,,,yes
515,,,,,yes
516,,,,,yes
517,,,,,yes
518,,,,,yes
519,,,,,yes
520,,,,,yes
521,,,,,yes
522,,,,,yes
523,,,,,yes
524,,,,,yes
525,,,,,yes
526,,,,,yes
527,,,,,yes
528,,,,,yes
529,,,,,yes
530,,,,,yes
531,,,,,yes
532,,,,,yes
533,,,,,yes
534,,,,,yes
535,,,,,yes
536,,,,,yes
537,,,,,yes
538,,,,,yes
539,,,,,yes
540,,,,,yes
541,,,,,yes
542,,,,,yes
543,,,,,yes
544,,,,,yes
545,,,,,yes
546,,,,,yes
547,,,,,yes
548,,,,,yes
549,,,,,yes
550,,,,,yes
551,,,,,yes
552,,,,,yes
553,,,,,yes
554,,,,,yes
555,,,,,yes
556,,,,,yes
557,,,,,yes
558,,,,,yes
559,,,,,yes
560,,,,,yes
561,,,,,yes
562,,,,,yes
563,,,,,yes
564,,,,,yes
565,,,,,yes
566,,,,,yes
567,,,,,yes
568,,,,,yes
569,,,,,yes
570,,,,,yes
571,,,,,yes
572,,,,,yes
573,,,,,yes
574,,,,,yes
575,,,,,yes
576,,,,,yes
577,,,,,yes
578,,,,,yes
579,,,,,yes
580,,,,,yes
581,,,,,yes
582,,,,,yes
583,,,,,yes
584,,,,,yes
585,,,,,yes
586,,,,,yes
587,,,,,yes
588,,,,,yes
589,,,,,yes
590,,,,,yes
591,,,,,yes
592,,,,,yes
593,,,,,yes
594,,,,,yes
595,,,,,yes
596,,,,,yes
597,,,,,yes
598,,,,,yes
599,,,,,yes
600,,,,,yes
601,,,,,yes
602,,,,,yes
603,,,,,yes
604,,,,,yes
605,,,,,yes
606,,,,,yes
607,,,,,yes
608,,,,,yes
609,,,,,yes
610,,,,,yes
611,,,,,yes
612,,,,,yes
613,,,,,yes
614,,,,,yes
615,,,,,yes
616,,,,,yes
617,,,,,yes
618,,,,,yes
619,,,,,yes
620,,,,,yes
621,,,,,yes
622,,,,,yes
623,,,,,yes
624,,,,,yes
625,,,,,yes
626,,,,,yes
627,,,,,yes
628,,,,,yes
629,,,,,yes
630,,,,,yes
631,,,,,yes
632,,,,,yes
633,,,,,yes
634,,,,,yes
635,,,,,yes
636,,,,,yes
637,,,,,yes
638,,,,,yes
639,,,,,yes
640,,,,,yes
641,,,,,yes
642,,,,,yes
643,,,,,yes
644,,,,,yes
645,,,,,yes
646,,,,,yes
647,,,,,yes
648,,,,,yes
649,,,,,yes
650,,,,,yes
651,,,,,yes
652,,,,,yes
653,,,,,yes
654,,,,,yes
655,,,,,yes
656,,,,,yes
657,,,,,yes
658,,,,,yes
659,,,,,yes
660,,,,,yes
661,,,,,yes
662,,,,,yes
663,,,,,yes
664,,,,,yes
665,,,,,yes
666,,,,,yes
667,,,,,yes
668,,,,,yes
669,,,,,yes
670,,,,,yes
671,,,,,yes
672,,,,,yes
673,,,,,yes
674,,,,,yes
675,,,,,yes
676,,,,,yes
677,,,,,yes
678,,,,,yes
679,,,,,yes
680,,,,,yes
681,,,,,yes
682,,,,,yes
683,,,,,yes
684,,,,,yes
685,,,,,yes
686,,,,,yes
687,,,,,yes
688,,,,,yes
689,,,,,yes
690,,,,,yes
691,,,,,yes
692,,,,,yes
693,,,,,yes
694,,,,,yes
695,,,,,yes
696,,,,,yes
697,,,,,yes
698,,,,,yes
699,,,,,yes
700,,,,,yes
701,,,,,yes
702,,,,,yes
703,,,,,yes
704,,,,,yes
705,,,,,yes
706,,,,,yes
707,,,,,yes
708,,,,,yes
709,,,,,yes
710,,,,,yes
711,,,,,yes
712,,,,,yes
713,,,,,yes
714,,,,,yes
715,,,,,yes
716,,,,,yes
717,,,,,yes
718,,,,,yes
719,,,,,yes
720,,,,,yes
721,,,,,yes
722,,,,,yes
723,,,,,yes
724,,,,,yes
725,,,,,yes
726,,,,,yes
727,,,,,yes
728,,,,,yes
729,,,,,yes
730,,,,,yes
731,,,,,yes
732,,,,,yes
733,,,,,yes
734,,,,,yes
735,,,,,yes
736,,,,,yes
737,,,,,yes
738,,,,,yes
739,,,,,yes
740,,,,,yes
741,,,,,yes
742,,,,,yes
743,,,,,yes
744,,,,,yes
745,,,,,yes
746,,,,,yes
747,,,,,yes
748,,,,,yes
749,,,,,yes
750,,,,,yes
751,,,,,yes
752,,,,,yes
753,,,,,yes
754,,,,,yes
755,,,,,yes
756,,,,,yes
757,,,,,yes
758,,,,,yes
759,,,,,yes
760,,,,,yes
761,,,,,yes
762,,,,,yes
